Date,Open,High,Low,Close,Adj Close,Volume,Open SMA(10),High SMA(10),Low SMA(10),Close SMA(10),Adj Close SMA(10),Volume SMA(10)
2020-11-27,1940.5,1956.099976,1921.400024,1929.800049,1923.611938,21845931,1981.100000,1998.044995,1944.194995,1959.445007,1953.161816,17983646.300000
2020-12-01,1940.349976,1966.25,1930.050049,1954.900024,1948.63147,9114939,1976.934998,1991.004993,1939.025000,1955.295007,1949.025134,16800453.800000
2020-12-02,1958.5,1962,1935,1958.150024,1951.870972,10240168,1964.284998,1978.704993,1934.025000,1951.785010,1945.526392,15676532.100000
2020-12-03,1972,1981.099976,1958.650024,1964.050049,1957.752075,12822945,1962.159998,1976.164990,1933.880005,1949.470020,1943.218823,15555761.400000
2020-12-04,1969,1969,1940,1946.75,1940.507568,8521388,1960.340002,1972.019995,1931.060010,1946.830017,1940.587292,15125099.400000
2020-12-07,1940.599976,1965,1940.599976,1958.199951,1951.920776,8418767,1956.900000,1970.139990,1935.620007,1952.700012,1946.438464,13314678.900000
2020-12-08,1961.150024,2014.25,1950,1993.75,1987.356812,20030506,1957.915003,1974.564990,1937.995007,1957.005017,1950.729663,13225863.000000
2020-12-09,2009.949951,2033.800049,1999.25,2026.949951,2020.450317,13464375,1962.509998,1980.544995,1944.720007,1963.295007,1956.999487,13144592.200000
2020-12-10,2021.599976,2028.5,2001,2007,2000.564331,7414229,1966.669995,1984.100000,1950.600012,1969.215002,1962.900500,12379777.500000
2020-12-11,2013,2038,1974.25,2005.800049,1999.368286,12434745,1972.664990,1991.400000,1955.020007,1974.535010,1968.203455,12430799.300000
2020-12-14,2007.949951,2015,1986.349976,1991.300049,1984.914673,7989830,1979.409985,1997.290003,1961.515002,1980.685010,1974.333728,11045189.200000
2020-12-15,1989.699951,1989.699951,1961.099976,1974.349976,1968.019043,8561406,1984.344983,1999.634998,1964.619995,1982.630005,1976.272485,10989835.900000
2020-12-16,1988,1994.949951,1965.699951,1976.550049,1970.212036,8565904,1987.294983,2002.929993,1967.689990,1984.470007,1978.106592,10822409.500000
2020-12-17,1984.5,2005,1977.150024,1985.599976,1979.23291,9346460,1988.544983,2005.319995,1969.539990,1986.625000,1980.254675,10474761.000000
2020-12-18,1980.099976,2004.900024,1965,1991.550049,1985.16394,8522215,1989.654980,2008.909997,1972.039990,1991.105005,1984.720312,10474843.700000
2020-12-21,2010,2022,1855.25,1939.699951,1933.480103,20368545,1996.594983,2014.609997,1963.504993,1989.255005,1982.876245,11669821.500000
2020-12-22,1949,1958.900024,1888.449951,1936.699951,1930.489746,12986606,1995.379980,2009.075000,1957.349988,1983.550000,1977.189538,10965431.500000
2020-12-23,1930,1951.449951,1920.650024,1943.849976,1937.616821,8999898,1987.384985,2000.839990,1949.489990,1975.240003,1968.906189,10518983.800000
2020-12-24,1947,1998.800049,1945.900024,1994.150024,1987.755615,9588577,1979.924988,1997.869995,1943.979993,1973.955005,1967.625317,10736418.600000
2020-12-28,2006.699951,2018,1995.300049,2003.300049,1996.876221,7947719,1979.294983,1995.869995,1946.084997,1973.705005,1967.376111,10287716.000000
2020-12-29,2009,2012.300049,1982.550049,1990.050049,1983.668701,8589407,1979.399988,1995.600000,1945.705005,1973.580005,1967.251514,10347673.700000
2020-12-30,1995.25,2007.199951,1975.550049,1995.5,1989.101196,10173132,1979.954993,1997.350000,1947.150012,1975.695007,1969.359729,10508846.300000
2020-12-31,1993.5,2011.900024,1978.599976,1985.300049,1978.93396,8667516,1980.504993,1999.045007,1948.440015,1976.570007,1970.231921,10519007.500000
2021-01-01,1988,1997,1982,1987.5,1981.126831,4622002,1980.854993,1998.245007,1948.925012,1976.760010,1970.421313,10046561.700000
2021-01-04,1995.099976,1998.900024,1968,1990.849976,1984.466064,11312992,1982.354993,1997.645007,1949.225012,1976.690003,1970.351526,10325639.400000
2021-01-05,1969,1983.599976,1956,1966.099976,1959.79541,11132803,1978.254993,1993.805005,1959.300012,1979.330005,1972.983056,9402065.200000
2021-01-06,1965.900024,1966,1905.150024,1914.25,1908.111694,21414270,1979.944995,1994.515002,1960.970019,1977.085010,1970.745251,10244831.600000
2021-01-07,1920.5,1945,1905.150024,1911.150024,1905.021729,14918406,1978.994995,1993.870007,1959.420019,1973.815015,1967.485742,10836682.400000
2021-01-08,1918,1938.400024,1912.099976,1933.699951,1927.499268,12709792,1976.094995,1987.830005,1956.040015,1967.770007,1961.460107,11148803.900000
2021-01-11,1938.800049,1938.800049,1892.5,1897.25,1891.16626,15371556,1969.305005,1979.910010,1945.760010,1957.165003,1950.889111,11891187.600000
2021-01-12,1903,1960,1899.900024,1957.050049,1950.774536,18996047,1958.705005,1974.680005,1937.495007,1953.865003,1947.599695,12931851.600000
2021-01-13,1963.550049,1974.949951,1918.449951,1938.800049,1932.58313,12284876,1955.535010,1971.455005,1931.784997,1948.195007,1941.947888,13143026.000000
2021-01-14,1945,1966.900024,1939.050049,1960.599976,1954.31311,9946818,1950.685010,1966.955005,1927.830005,1945.725000,1939.485803,13270956.200000
2021-01-15,1960.599976,1973.800049,1920.050049,1937.449951,1931.237305,9503790,1947.945007,1964.635010,1921.635010,1940.719995,1934.496851,13759135.000000
